nro_acta,codigo_territorial,codigo_mesa,nro_mesa,nro_votantes,partido1,partido2,partido3,partido4,votos_blancos,votos_nulos,registrado_por
ACTA-10201002014,10201,10201002014,14,338,14,63,43,21,12,13,1
ACTA-10202002015,10202,10202002015,15,437,17,89,50,57,6,10,1
ACTA-10301002016,10301,10301002016,16,844,95,72,46,75,15,28,1
ACTA-10302002017,10302,10302002017,17,667,111,7,8,131,21,8,1
ACTA-10303002018,10303,10303002018,18,373,43,40,47,45,4,4,1
ACTA-10304002019,10304,10304002019,19,186,14,33,1,30,0,8,1
ACTA-10401002020,10401,10401002020,20,339,2,3,59,37,13,1,1
ACTA-10402003001,10402,10402003001,1,362,14,23,15,5,14,12,1
ACTA-10403003002,10403,10403003002,2,364,72,74,59,22,7,8,1
ACTA-10404003003,10404,10404003003,3,695,163,45,116,122,27,1,1
ACTA-10405003004,10405,10405003004,4,419,85,71,57,4,15,9,1
ACTA-10501003005,10501,10501003005,5,638,29,139,106,105,0,22,1
ACTA-10101003006,10101,10101003006,6,500,24,100,26,41,9,8,1
ACTA-10102003007,10102,10102003007,7,538,111,133,71,36,8,10,1
ACTA-10103003008,10103,10103003008,8,439,28,92,16,18,12,2,1
ACTA-10201003009,10201,10201003009,9,694,129,126,45,38,5,9,1
ACTA-10202003010,10202,10202003010,10,893,186,219,128,130,3,22,1
ACTA-10301003011,10301,10301003011,11,784,6,101,30,2,17,15,1
ACTA-10302003012,10302,10302003012,12,825,99,138,44,61,31,26,1
ACTA-10303003013,10303,10303003013,13,164,6,20,30,12,5,8,1
ACTA-10304003014,10304,10304003014,14,685,48,102,66,25,29,14,1
ACTA-10401003015,10401,10401003015,15,364,40,8,18,24,5,0,1
ACTA-10402003016,10402,10402003016,16,181,40,1,30,7,3,4,1
ACTA-10403003017,10403,10403003017,17,946,233,161,8,6,40,20,1
ACTA-10404003018,10404,10404003018,18,565,72,130,32,2,1,27,1
ACTA-10405003019,10405,10405003019,19,791,162,197,55,149,11,10,1
ACTA-10501003020,10501,10501003020,20,355,58,40,51,31,15,6,1
ACTA-10101004001,10101,10101004001,1,596,43,39,35,17,8,4,1
ACTA-10102004002,10102,10102004002,2,559,19,101,85,104,5,9,1
ACTA-10103004003,10103,10103004003,3,227,10,24,28,12,5,5,1
ACTA-10201004004,10201,10201004004,4,789,184,37,122,135,34,31,1
ACTA-10202004005,10202,10202004005,5,158,9,37,24,17,1,4,1
ACTA-10301004006,10301,10301004006,6,185,21,26,8,0,6,6,1
ACTA-10302004007,10302,10302004007,7,464,37,53,41,72,13,10,1
ACTA-10303004008,10303,10303004008,8,845,94,61,85,15,38,39,1
ACTA-10304004009,10304,10304004009,9,752,21,150,83,109,28,29,1
ACTA-10401004010,10401,10401004010,10,380,82,55,52,69,2,6,1
ACTA-10402004011,10402,10402004011,11,727,55,39,80,89,1,3,1
ACTA-10403004012,10403,10403004012,12,440,97,63,13,12,8,16,1
ACTA-10404004013,10404,10404004013,13,548,120,126,12,95,17,21,1
ACTA-10405004014,10405,10405004014,14,792,9,133,80,119,26,1,1
ACTA-10501004015,10501,10501004015,15,215,52,37,4,0,7,8,1
ACTA-10101004016,10101,10101004016,16,866,13,50,2,28,21,28,1
ACTA-10102004017,10102,10102004017,17,164,25,6,8,12,4,6,1
ACTA-10103004018,10103,10103004018,18,451,84,66,37,59,15,8,1
ACTA-10201004019,10201,10201004019,19,544,26,122,108,2,19,20,1
ACTA-10202004020,10202,10202004020,20,463,84,30,42,6,8,12,1
ACTA-10301005001,10301,10301005001,1,718,57,170,35,105,6,21,1
ACTA-10302005002,10302,10302005002,2,939,118,214,96,175,23,38,1
ACTA-10303005003,10303,10303005003,3,805,32,70,11,104,3,13,1
ACTA-10304005004,10304,10304005004,4,490,1,65,28,23,19,10,1
ACTA-10401005005,10401,10401005005,5,724,43,14,29,26,18,31,1
ACTA-10402005006,10402,10402005006,6,177,23,3,16,31,7,4,1
ACTA-10403005007,10403,10403005007,7,945,223,194,29,68,21,12,1
ACTA-10404005008,10404,10404005008,8,592,31,27,15,22,5,0,1
ACTA-10405005009,10405,10405005009,9,738,75,42,73,143,14,9,1
ACTA-10501005010,10501,10501005010,10,915,170,29,70,27,36,16,1
ACTA-10101005011,10101,10101005011,11,902,46,222,79,77,12,21,1
ACTA-10102005012,10102,10102005012,12,765,107,11,59,40,36,29,1
ACTA-10103005013,10103,10103005013,13,660,117,124,127,91,16,22,1
ACTA-10201005014,10201,10201005014,14,404,86,77,45,47,8,8,1
ACTA-10202005015,10202,10202005015,15,267,3,17,42,31,9,13,1
ACTA-10301005016,10301,10301005016,16,673,17,93,16,84,4,17,1
ACTA-10302005017,10302,10302005017,17,392,60,3,41,15,19,18,1
ACTA-10303005018,10303,10303005018,18,385,64,88,27,31,19,14,1
ACTA-10304005019,10304,10304005019,19,391,68,80,60,8,0,8,1
ACTA-10401005020,10401,10401005020,20,321,63,37,18,1,13,7,1
ACTA-10402006001,10402,10402006001,1,318,1,69,61,13,12,15,1
ACTA-10403006002,10403,10403006002,2,636,38,132,18,27,11,22,1
ACTA-10404006003,10404,10404006003,3,317,77,22,29,2,1,14,1
ACTA-10405006004,10405,10405006004,4,275,18,67,38,54,6,7,1
ACTA-10501006005,10501,10501006005,5,938,36,60,10,167,5,6,1
ACTA-10101006006,10101,10101006006,6,940,207,31,7,27,30,12,1
ACTA-10102006007,10102,10102006007,7,638,140,64,91,107,27,14,1
ACTA-10103006008,10103,10103006008,8,782,120,27,12,138,5,18,1
ACTA-10201006009,10201,10201006009,9,843,145,113,102,17,28,3,1
ACTA-10202006010,10202,10202006010,10,779,143,82,122,67,13,29,1
ACTA-10301006011,10301,10301006011,11,603,74,128,88,15,30,3,1
ACTA-10302006012,10302,10302006012,12,794,165,124,69,46,4,5,1
ACTA-10303006013,10303,10303006013,13,454,47,84,14,15,9,9,1
ACTA-10304006014,10304,10304006014,14,346,30,0,57,45,16,9,1
ACTA-10401006015,10401,10401006015,15,679,64,63,61,83,6,20,1
ACTA-10402006016,10402,10402006016,16,313,21,8,51,34,5,13,1
ACTA-10403006017,10403,10403006017,17,935,131,126,17,136,13,38,1
ACTA-10404006018,10404,10404006018,18,218,2,49,13,31,10,9,1
ACTA-10405006019,10405,10405006019,19,402,53,23,10,39,20,4,1
ACTA-10501006020,10501,10501006020,20,732,173,166,136,130,20,2,1
ACTA-10101007001,10101,10101007001,1,321,53,11,10,7,10,13,1
ACTA-10102007002,10102,10102007002,2,197,10,33,28,35,2,7,1
ACTA-10103007003,10103,10103007003,3,197,32,10,16,27,7,3,1
ACTA-10201007004,10201,10201007004,4,944,111,212,173,26,25,27,1
ACTA-10202007005,10202,10202007005,5,555,22,64,111,62,21,20,1
ACTA-10301007006,10301,10301007006,6,282,18,22,35,35,3,3,1
ACTA-10302007007,10302,10302007007,7,950,101,208,165,148,32,23,1
ACTA-10303007008,10303,10303007008,8,709,16,46,125,17,18,8,1
ACTA-10304007009,10304,10304007009,9,482,10,17,67,27,15,9,1
ACTA-10401007010,10401,10401007010,10,193,30,32,33,15,4,0,1
ACTA-10402007011,10402,10402007011,11,699,49,134,106,127,16,17,1
ACTA-10403007012,10403,10403007012,12,182,12,43,19,6,0,8,1
ACTA-10404007013,10404,10404007013,13,826,155,130,123,144,31,9,1
ACTA-10405007014,10405,10405007014,14,366,46,43,71,12,0,4,1
ACTA-10501007015,10501,10501007015,15,666,95,140,75,27,3,31,1
ACTA-10101007016,10101,10101007016,16,441,107,2,22,46,14,11,1
ACTA-10102007017,10102,10102007017,17,170,15,8,26,1,4,8,1
ACTA-10103007018,10103,10103007018,18,575,35,50,48,32,9,5,1
ACTA-10201007019,10201,10201007019,19,773,56,168,40,46,35,27,1
ACTA-10202007020,10202,10202007020,20,919,71,140,120,96,25,42,1
ACTA-10301008001,10301,10301008001,1,920,22,220,107,14,19,20,1
ACTA-10302008002,10302,10302008002,2,588,42,111,87,8,12,12,1
ACTA-10303008003,10303,10303008003,3,718,62,30,13,7,35,20,1
ACTA-10304008004,10304,10304008004,4,388,93,13,58,46,3,4,1
ACTA-10401008005,10401,10401008005,5,276,63,8,43,7,3,11,1
ACTA-10402008006,10402,10402008006,6,697,149,127,44,86,1,21,1
ACTA-10403008007,10403,10403008007,7,927,128,112,141,120,23,32,1
ACTA-10404008008,10404,10404008008,8,734,138,76,49,28,35,27,1
ACTA-10405008009,10405,10405008009,9,589,11,11,73,35,23,29,1
ACTA-10501008010,10501,10501008010,10,222,38,24,17,7,3,4,1
ACTA-10101008011,10101,10101008011,11,592,50,59,66,60,4,27,1
ACTA-10102008012,10102,10102008012,12,798,33,72,117,72,32,34,1
ACTA-10103008013,10103,10103008013,13,261,10,63,26,38,4,3,1
ACTA-10201008014,10201,10201008014,14,293,18,33,11,16,9,9,1
ACTA-10202008015,10202,10202008015,15,297,44,48,47,38,8,4,1
ACTA-10301008016,10301,10301008016,16,479,85,55,25,95,12,8,1
ACTA-10302008017,10302,10302008017,17,903,109,101,84,42,18,30,1
ACTA-10303008018,10303,10303008018,18,401,90,31,51,2,18,8,1
ACTA-10304008019,10304,10304008019,19,913,142,11,58,168,0,25,1
ACTA-10401008020,10401,10401008020,20,342,26,12,44,46,6,13,1
ACTA-10402009001,10402,10402009001,1,822,134,133,52,94,29,14,1
ACTA-10403009002,10403,10403009002,2,442,41,17,6,8,1,19,1
ACTA-10404009003,10404,10404009003,3,628,41,91,6,29,23,20,1
ACTA-10405009004,10405,10405009004,4,192,43,12,12,25,2,8,1
ACTA-10501009005,10501,10501009005,5,891,39,54,58,10,6,1,1
ACTA-10101009006,10101,10101009006,6,160,11,4,15,24,5,6,1
ACTA-10102009007,10102,10102009007,7,516,118,59,40,6,19,25,1
ACTA-10103009008,10103,10103009008,8,257,30,58,19,49,1,6,1
ACTA-10201009009,10201,10201009009,9,389,14,9,53,26,19,13,1
ACTA-10202009010,10202,10202009010,10,754,69,82,34,125,35,9,1
ACTA-10301009011,10301,10301009011,11,431,103,95,12,8,13,16,1
ACTA-10302009012,10302,10302009012,12,219,47,25,34,20,5,7,1
ACTA-10303009013,10303,10303009013,13,716,177,140,118,79,8,17,1
ACTA-10304009014,10304,10304009014,14,848,10,97,50,42,6,42,1
ACTA-10401009015,10401,10401009015,15,543,61,111,47,52,20,14,1
ACTA-10402009016,10402,10402009016,16,944,24,169,102,157,40,30,1
ACTA-10403009017,10403,10403009017,17,828,117,8,15,164,4,27,1
ACTA-10404009018,10404,10404009018,18,341,77,76,39,43,8,4,1
ACTA-10405009019,10405,10405009019,19,486,61,71,24,97,22,11,1
ACTA-10501009020,10501,10501009020,20,711,161,52,20,71,29,13,1
ACTA-10101010001,10101,10101010001,1,779,17,125,73,145,37,0,1
ACTA-10102010002,10102,10102010002,2,710,113,7,70,98,22,14,1
ACTA-10103010003,10103,10103010003,3,311,55,39,53,12,14,5,1
ACTA-10201010004,10201,10201010004,4,173,36,30,10,20,1,6,1
ACTA-10202010005,10202,10202010005,5,428,45,80,11,84,3,18,1
ACTA-10301010006,10301,10301010006,6,190,27,6,33,9,7,1,1
ACTA-10302010007,10302,10302010007,7,244,3,60,18,33,1,5,1
ACTA-10303010008,10303,10303010008,8,511,43,11,87,88,9,8,1
ACTA-10304010009,10304,10304010009,9,907,22,210,106,145,30,19,1
ACTA-10401010010,10401,10401010010,10,377,74,8,67,7,11,17,1
ACTA-10402010011,10402,10402010011,11,253,48,29,26,27,5,2,1
ACTA-10403010012,10403,10403010012,12,156,11,19,25,28,7,7,1
ACTA-10404010013,10404,10404010013,13,603,39,30,89,64,12,26,1
ACTA-10405010014,10405,10405010014,14,636,2,90,126,59,22,27,1
ACTA-10501010015,10501,10501010015,15,375,68,10,4,24,9,7,1
ACTA-10101010016,10101,10101010016,16,937,92,34,172,94,33,19,1
ACTA-10102010017,10102,10102010017,17,364,49,50,69,5,4,15,1
ACTA-10103010018,10103,10103010018,18,427,87,102,17,6,21,18,1
ACTA-10201010019,10201,10201010019,19,560,60,133,22,51,13,17,1
ACTA-10202010020,10202,10202010020,20,895,161,108,23,120,21,10,1
ACTA-10301011001,10301,10301011001,1,592,14,1,63,110,20,27,1
ACTA-10302011002,10302,10302011002,2,689,121,1,109,85,18,7,1
ACTA-10303011003,10303,10303011003,3,226,45,19,19,41,5,8,1
ACTA-10304011004,10304,10304011004,4,419,0,20,28,14,3,13,1
ACTA-10401011005,10401,10401011005,5,189,6,36,32,0,1,4,1
ACTA-10402011006,10402,10402011006,6,656,148,102,38,97,28,31,1
ACTA-10403011007,10403,10403011007,7,489,56,94,67,76,10,5,1
ACTA-10404011008,10404,10404011008,8,281,42,46,29,56,5,11,1
ACTA-10405011009,10405,10405011009,9,272,19,5,41,5,11,2,1
ACTA-10501011010,10501,10501011010,10,221,49,47,38,42,3,5,1
ACTA-10101011011,10101,10101011011,11,152,19,15,13,16,4,7,1
ACTA-10102011012,10102,10102011012,12,189,18,25,11,29,9,3,1
ACTA-10103011013,10103,10103011013,13,392,52,82,11,53,8,1,1
ACTA-10201011014,10201,10201011014,14,171,42,6,28,18,7,7,1
ACTA-10202011015,10202,10202011015,15,911,99,191,111,47,40,42,1
ACTA-10301011016,10301,10301011016,16,926,84,122,159,112,19,36,1
ACTA-10302011017,10302,10302011017,17,761,103,173,55,67,36,23,1
ACTA-10303011018,10303,10303011018,18,646,131,120,111,87,2,0,1
ACTA-10304011019,10304,10304011019,19,810,32,154,138,34,5,5,1
ACTA-10401011020,10401,10401011020,20,225,31,36,6,34,9,6,1
ACTA-10402012001,10402,10402012001,1,895,57,78,45,44,10,35,1
ACTA-10403012002,10403,10403012002,2,509,119,93,98,19,5,16,1
ACTA-10404012003,10404,10404012003,3,740,66,124,10,81,24,34,1
ACTA-10405012004,10405,10405012004,4,746,175,45,105,49,23,35,1
ACTA-10501012005,10501,10501012005,5,856,40,166,4,65,5,22,1
ACTA-10101012006,10101,10101012006,6,256,1,35,42,47,0,2,1
ACTA-10102012007,10102,10102012007,7,541,36,69,21,83,22,21,1
ACTA-10103012008,10103,10103012008,8,450,40,4,69,17,15,1,1
ACTA-10201012009,10201,10201012009,9,439,10,13,76,9,21,16,1
ACTA-10202012010,10202,10202012010,10,373,6,17,11,64,15,7,1
ACTA-10301012011,10301,10301012011,11,194,43,45,22,33,0,4,1
ACTA-10302012012,10302,10302012012,12,160,39,13,17,1,2,6,1
ACTA-10303012013,10303,10303012013,13,920,92,145,180,7,28,37,1
ACTA-10304012014,10304,10304012014,14,866,15,21,1,172,34,37,1
ACTA-10401012015,10401,10401012015,15,690,16,77,20,96,32,24,1
ACTA-10402012016,10402,10402012016,16,922,136,123,27,172,29,39,1
ACTA-10403012017,10403,10403012017,17,444,55,109,79,80,11,12,1
ACTA-10404012018,10404,10404012018,18,294,37,43,35,4,1,0,1
ACTA-10405012019,10405,10405012019,19,540,12,89,106,19,6,24,1
ACTA-10501012020,10501,10501012020,20,202,9,24,6,24,9,9,1
ACTA-10101013001,10101,10101013001,1,292,22,20,9,38,11,9,1
ACTA-10102013002,10102,10102013002,2,425,5,24,62,67,2,16,1
ACTA-10103013003,10103,10103013003,3,200,25,5,31,33,6,4,1
ACTA-10201013004,10201,10201013004,4,215,18,2,41,26,0,2,1
ACTA-10202013005,10202,10202013005,5,307,55,62,26,19,10,7,1
ACTA-10301013006,10301,10301013006,6,423,64,9,39,23,19,20,1
ACTA-10302013007,10302,10302013007,7,454,61,47,81,60,8,17,1
ACTA-10303013008,10303,10303013008,8,549,81,67,91,39,21,17,1
ACTA-10304013009,10304,10304013009,9,539,14,74,99,67,9,22,1
ACTA-10401013010,10401,10401013010,10,160,20,35,25,2,1,4,1
ACTA-10402013011,10402,10402013011,11,392,42,5,36,43,13,8,1
ACTA-10403013012,10403,10403013012,12,933,117,32,128,135,1,32,1
ACTA-10404013013,10404,10404013013,13,487,83,70,71,31,23,8,1
ACTA-10405013014,10405,10405013014,14,158,13,18,18,9,1,1,1
ACTA-10501013015,10501,10501013015,15,308,22,76,21,1,0,10,1
ACTA-10101013016,10101,10101013016,16,879,213,93,7,13,39,42,1
ACTA-10102013017,10102,10102013017,17,856,86,167,26,25,7,17,1
ACTA-10103013018,10103,10103013018,18,322,27,78,6,52,16,8,1
ACTA-10201013019,10201,10201013019,19,238,10,35,39,25,10,8,1
ACTA-10202013020,10202,10202013020,20,459,85,28,91,2,22,14,1
ACTA-10301014001,10301,10301014001,1,287,6,64,9,12,14,2,1
ACTA-10302014002,10302,10302014002,2,899,147,90,167,91,8,10,1
ACTA-10303014003,10303,10303014003,3,435,24,10,77,18,1,0,1
ACTA-10304014004,10304,10304014004,4,293,64,2,39,41,14,13,1
ACTA-10401014005,10401,10401014005,5,330,38,60,41,24,10,14,1
ACTA-10402014006,10402,10402014006,6,233,54,7,37,34,11,5,1
ACTA-10403014007,10403,10403014007,7,947,188,27,95,92,9,43,1
ACTA-10404014008,10404,10404014008,8,427,97,22,53,18,20,20,1
ACTA-10405014009,10405,10405014009,9,838,168,60,90,146,34,11,1
ACTA-10501014010,10501,10501014010,10,672,136,20,85,19,22,17,1
ACTA-10101014011,10101,10101014011,11,843,163,38,18,17,26,23,1
ACTA-10102014012,10102,10102014012,12,328,37,20,28,51,1,8,1
ACTA-10103014013,10103,10103014013,13,701,121,129,132,47,11,34,1
ACTA-10201014014,10201,10201014014,14,435,32,49,32,5,6,10,1
ACTA-10202014015,10202,10202014015,15,380,68,68,47,67,8,15,1
ACTA-10301014016,10301,10301014016,16,436,87,60,74,36,20,2,1
ACTA-10302014017,10302,10302014017,17,246,31,60,24,4,7,10,1
ACTA-10303014018,10303,10303014018,18,367,75,33,13,3,15,4,1
ACTA-10304014019,10304,10304014019,19,673,41,93,50,88,30,22,1
ACTA-10401014020,10401,10401014020,20,176,28,37,8,12,1,6,1
ACTA-10402015001,10402,10402015001,1,689,72,97,79,2,18,31,1
ACTA-10403015002,10403,10403015002,2,223,52,5,25,6,3,2,1
ACTA-10404015003,10404,10404015003,3,574,51,135,70,85,1,10,1
ACTA-10405015004,10405,10405015004,4,568,17,56,40,52,5,2,1
ACTA-10501015005,10501,10501015005,5,332,17,55,23,65,5,8,1
ACTA-10101015006,10101,10101015006,6,347,25,45,68,28,4,4,1
ACTA-10102015007,10102,10102015007,7,357,62,24,57,6,6,8,1
ACTA-10103015008,10103,10103015008,8,637,9,22,123,93,10,24,1
ACTA-10201015009,10201,10201015009,9,240,18,47,4,29,8,1,1
ACTA-10202015010,10202,10202015010,10,788,147,21,66,36,2,36,1
ACTA-10301015011,10301,10301015011,11,553,19,100,22,85,7,8,1
ACTA-10302015012,10302,10302015012,12,907,41,36,134,76,14,41,1
ACTA-10303015013,10303,10303015013,13,920,211,20,57,10,37,5,1
ACTA-10304015014,10304,10304015014,14,293,54,22,4,6,1,6,1
ACTA-10401015015,10401,10401015015,15,305,66,41,14,43,0,1,1
ACTA-10402015016,10402,10402015016,16,673,38,21,106,53,15,19,1
ACTA-10403015017,10403,10403015017,17,710,37,119,56,89,19,15,1
ACTA-10404015018,10404,10404015018,18,895,76,96,59,10,26,12,1
ACTA-10405015019,10405,10405015019,19,395,77,31,67,63,10,10,1
ACTA-10501015020,10501,10501015020,20,713,107,59,129,86,2,31,1
ACTA-10101016001,10101,10101016001,1,532,28,104,39,55,23,22,1
ACTA-10102016002,10102,10102016002,2,819,23,168,65,96,16,14,1
ACTA-10103016003,10103,10103016003,3,929,72,153,72,33,11,37,1
ACTA-10201016004,10201,10201016004,4,532,20,82,13,5,17,20,1
ACTA-10202016005,10202,10202016005,5,911,157,223,77,150,25,5,1
ACTA-10301016006,10301,10301016006,6,388,42,47,55,48,10,10,1
ACTA-10302016007,10302,10302016007,7,291,11,67,18,8,0,8,1
ACTA-10303016008,10303,10303016008,8,477,60,6,35,73,11,17,1
ACTA-10304016009,10304,10304016009,9,267,61,20,18,42,8,1,1
ACTA-10401016010,10401,10401016010,10,755,107,98,37,45,32,6,1
ACTA-10402016011,10402,10402016011,11,799,173,88,11,98,15,30,1
ACTA-10403016012,10403,10403016012,12,522,64,112,27,102,8,25,1
ACTA-10404016013,10404,10404016013,13,563,66,33,66,64,23,15,1
ACTA-10405016014,10405,10405016014,14,153,1,28,16,26,0,6,1
ACTA-10501016015,10501,10501016015,15,788,143,153,103,4,23,6,1
ACTA-10101016016,10101,10101016016,16,802,188,102,70,56,33,33,1
ACTA-10102016017,10102,10102016017,17,707,19,38,122,1,7,15,1
ACTA-10103016018,10103,10103016018,18,917,120,41,126,145,22,4,1
ACTA-10201016019,10201,10201016019,19,441,72,40,23,50,4,7,1
ACTA-10202016020,10202,10202016020,20,803,19,148,36,12,20,15,1
ACTA-10301017001,10301,10301017001,1,269,13,39,34,9,0,2,1
ACTA-10302017002,10302,10302017002,2,685,60,158,129,7,14,11,1
ACTA-10303017003,10303,10303017003,3,157,4,39,8,23,3,6,1
ACTA-10304017004,10304,10304017004,4,563,107,28,67,41,24,23,1
ACTA-10401017005,10401,10401017005,5,308,37,35,58,44,1,12,1
ACTA-10402017006,10402,10402017006,6,902,14,97,87,141,14,34,1
ACTA-10403017007,10403,10403017007,7,834,50,10,32,135,33,21,1
ACTA-10404017008,10404,10404017008,8,545,86,79,28,17,13,24,1
ACTA-10405017009,10405,10405017009,9,717,159,101,71,80,19,2,1
ACTA-10501017010,10501,10501017010,10,437,15,10,3,18,11,10,1
ACTA-10101017011,10101,10101017011,11,289,18,71,11,6,3,3,1
ACTA-10102017012,10102,10102017012,12,654,161,37,130,99,5,9,1
ACTA-10103017013,10103,10103017013,13,828,151,156,37,66,32,29,1
ACTA-10201017014,10201,10201017014,14,893,128,158,4,7,25,3,1
ACTA-10202017015,10202,10202017015,15,876,165,155,85,174,2,11,1
ACTA-10301017016,10301,10301017016,16,247,55,1,41,35,9,8,1
ACTA-10302017017,10302,10302017017,17,908,87,100,52,66,40,14,1
ACTA-10303017018,10303,10303017018,18,200,27,43,25,22,5,7,1
ACTA-10304017019,10304,10304017019,19,708,3,108,48,42,28,13,1
ACTA-10401017020,10401,10401017020,20,179,8,26,5,10,8,2,1
ACTA-10402018001,10402,10402018001,1,818,147,49,71,109,38,28,1
ACTA-10403018002,10403,10403018002,2,641,159,143,93,57,13,23,1
ACTA-10404018003,10404,10404018003,3,220,55,31,15,7,0,3,1
ACTA-10405018004,10405,10405018004,4,818,87,17,39,9,25,35,1
ACTA-10501018005,10501,10501018005,5,793,69,153,152,22,20,32,1
ACTA-10101018006,10101,10101018006,6,510,6,113,31,31,22,13,1
ACTA-10102018007,10102,10102018007,7,215,31,0,28,5,6,10,1
ACTA-10103018008,10103,10103018008,8,716,163,25,79,48,21,13,1
ACTA-10201018009,10201,10201018009,9,638,12,72,21,117,15,7,1
ACTA-10202018010,10202,10202018010,10,916,212,42,127,17,8,0,1
ACTA-10301018011,10301,10301018011,11,258,0,64,29,7,5,6,1
ACTA-10302018012,10302,10302018012,12,746,95,177,37,76,6,21,1
ACTA-10303018013,10303,10303018013,13,388,78,34,46,7,13,7,1
ACTA-10304018014,10304,10304018014,14,557,97,33,21,16,16,8,1
ACTA-10401018015,10401,10401018015,15,403,64,20,13,55,20,6,1
ACTA-10402018016,10402,10402018016,16,517,64,5,37,19,13,1,1
ACTA-10403018017,10403,10403018017,17,649,146,16,35,122,5,27,1
ACTA-10404018018,10404,10404018018,18,191,13,1,35,33,6,9,1
ACTA-10405018019,10405,10405018019,19,942,45,9,53,35,11,31,1
ACTA-10501018020,10501,10501018020,20,858,147,14,63,58,21,2,1
ACTA-10101019001,10101,10101019001,1,199,30,47,9,8,5,8,1
ACTA-10102019002,10102,10102019002,2,872,22,128,105,32,19,4,1
ACTA-10103019003,10103,10103019003,3,553,6,114,108,19,19,23,1
ACTA-10201019004,10201,10201019004,4,775,66,39,11,65,29,21,1
ACTA-10202019005,10202,10202019005,5,302,71,49,51,54,7,0,1
ACTA-10301019006,10301,10301019006,6,915,114,162,44,175,24,7,1
ACTA-10302019007,10302,10302019007,7,385,29,29,29,10,5,5,1
ACTA-10303019008,10303,10303019008,8,644,0,135,124,51,17,0,1
ACTA-10304019009,10304,10304019009,9,201,0,2,7,6,10,0,1
ACTA-10401019010,10401,10401019010,10,269,53,32,35,41,13,5,1
ACTA-10402019011,10402,10402019011,11,852,165,204,33,40,26,19,1
ACTA-10403019012,10403,10403019012,12,450,44,58,63,45,1,7,1
ACTA-10404019013,10404,10404019013,13,167,4,4,14,11,5,0,1
ACTA-10405019014,10405,10405019014,14,632,127,15,74,70,4,24,1
ACTA-10501019015,10501,10501019015,15,827,16,100,154,37,19,25,1
ACTA-10101019016,10101,10101019016,16,182,12,28,21,14,9,7,1
ACTA-10102019017,10102,10102019017,17,225,38,27,31,29,5,11,1
ACTA-10103019018,10103,10103019018,18,674,144,48,100,40,31,25,1
ACTA-10201019019,10201,10201019019,19,458,25,39,32,6,13,1,1
ACTA-10202019020,10202,10202019020,20,389,9,86,43,30,14,1,1
ACTA-10301020001,10301,10301020001,1,337,31,4,35,66,11,14,1
ACTA-10302020002,10302,10302020002,2,810,53,25,154,41,19,34,1
ACTA-10303020003,10303,10303020003,3,718,168,37,96,98,35,4,1
ACTA-10304020004,10304,10304020004,4,264,60,55,11,20,11,9,1
