nro_acta,codigo_territorial,codigo_mesa,nro_mesa,nro_votantes,partido1,partido2,partido3,partido4,votos_blancos,votos_nulos,registrado_por
ACTA-10301002016,10301,10301002016,16,312,45,8,13,19,0,4,1
ACTA-10302002017,10302,10302002017,17,895,3,132,44,21,39,21,1
ACTA-10303002018,10303,10303002018,18,347,46,66,41,40,3,10,1
ACTA-10304002019,10304,10304002019,19,201,13,48,4,14,2,7,1
ACTA-ERROR-10401002020,10401,10401002020,20,675,675,57,46,42,20,23,1
ACTA-10402003001,10402,10402003001,1,636,63,139,22,113,27,1,1
ACTA-10403003002,10403,10403003002,2,212,12,6,32,18,0,5,1
ACTA-10404003003,10404,10404003003,3,258,23,22,12,44,10,12,1
ACTA-10405003004,10405,10405003004,4,305,26,22,9,44,1,12,1
ACTA-10501003005,10501,10501003005,5,806,109,154,105,132,20,0,1
ACTA-10101003006,10101,10101003006,6,474,58,102,15,36,3,10,1
ACTA-10102003007,10102,10102003007,7,750,46,57,39,126,25,6,1
ACTA-10103003008,10103,10103003008,8,839,92,39,72,159,15,18,1
ACTA-10201003009,10201,10201003009,9,286,57,34,40,24,9,9,1
ACTA-ERROR-10202003010,10202,10202003010,10,329,329,49,23,19,6,24,1
ACTA-10301003011,10301,10301003011,11,414,22,85,19,21,13,11,1
ACTA-10302003012,10302,10302003012,12,813,52,186,144,58,39,9,1
ACTA-10303003013,10303,10303003013,13,881,120,86,103,170,31,33,1
ACTA-10304003014,10304,10304003014,14,629,62,122,4,67,18,10,1
ACTA-10401003015,10401,10401003015,15,847,210,67,58,85,10,21,1
ACTA-10402003016,10402,10402003016,16,297,60,63,59,51,6,11,1
ACTA-10403003017,10403,10403003017,17,567,21,131,57,77,13,22,1
ACTA-10404003018,10404,10404003018,18,188,46,2,23,31,8,0,1
ACTA-10405003019,10405,10405003019,19,175,38,28,28,22,7,0,1
ACTA-ERROR-10501003020,10501,10501003020,20,175,175,22,37,28,15,19,1
ACTA-10101004001,10101,10101004001,1,293,42,63,51,16,5,4,1
ACTA-10102004002,10102,10102004002,2,398,32,55,57,21,11,17,1
ACTA-10103004003,10103,10103004003,3,554,11,127,79,96,6,1,1
ACTA-10201004004,10201,10201004004,4,657,47,9,106,13,30,3,1
ACTA-10202004005,10202,10202004005,5,595,40,123,17,87,21,6,1
ACTA-10301004006,10301,10301004006,6,810,139,38,83,48,12,12,1
ACTA-10302004007,10302,10302004007,7,539,25,117,5,49,18,14,1
ACTA-10303004008,10303,10303004008,8,255,8,51,44,14,12,3,1
ACTA-10304004009,10304,10304004009,9,591,64,9,90,80,29,9,1
ACTA-ERROR-10401004010,10401,10401004010,10,824,824,31,42,20,27,28,1
ACTA-10402004011,10402,10402004011,11,403,37,85,68,33,17,17,1
ACTA-10403004012,10403,10403004012,12,445,104,59,80,1,16,5,1
ACTA-10404004013,10404,10404004013,13,567,87,102,55,15,28,4,1
ACTA-10405004014,10405,10405004014,14,599,74,14,37,87,2,21,1
ACTA-10501004015,10501,10501004015,15,921,215,117,35,150,25,19,1
ACTA-10101004016,10101,10101004016,16,717,96,12,131,125,23,15,1
ACTA-10102004017,10102,10102004017,17,467,11,82,73,85,8,8,1
ACTA-10103004018,10103,10103004018,18,702,98,125,39,1,22,21,1
ACTA-10201004019,10201,10201004019,19,406,74,89,30,51,4,11,1
ACTA-ERROR-10202004020,10202,10202004020,20,301,301,39,10,20,27,20,1
ACTA-10301005001,10301,10301005001,1,567,65,42,79,78,8,12,1
ACTA-10302005002,10302,10302005002,2,802,15,107,24,133,30,7,1
ACTA-10303005003,10303,10303005003,3,944,166,55,160,159,30,14,1
ACTA-10304005004,10304,10304005004,4,281,14,37,0,52,5,3,1
ACTA-10401005005,10401,10401005005,5,823,121,1,80,150,29,38,1
ACTA-10402005006,10402,10402005006,6,282,61,44,47,15,7,11,1
ACTA-10403005007,10403,10403005007,7,493,0,9,27,40,19,16,1
ACTA-10404005008,10404,10404005008,8,432,98,108,61,72,1,8,1
ACTA-10405005009,10405,10405005009,9,507,34,27,13,70,1,6,1
ACTA-ERROR-10501005010,10501,10501005010,10,510,510,65,55,40,7,5,1
ACTA-10101005011,10101,10101005011,11,921,141,99,26,135,30,38,1
ACTA-10102005012,10102,10102005012,12,657,119,68,129,109,14,20,1
ACTA-10103005013,10103,10103005013,13,678,31,107,33,45,31,7,1
ACTA-10201005014,10201,10201005014,14,591,99,144,28,24,19,26,1
ACTA-10202005015,10202,10202005015,15,336,5,14,44,24,16,15,1
ACTA-10301005016,10301,10301005016,16,201,7,19,27,20,2,5,1
ACTA-10302005017,10302,10302005017,17,591,118,139,52,69,15,5,1
ACTA-10303005018,10303,10303005018,18,244,35,41,23,37,0,1,1
ACTA-10304005019,10304,10304005019,19,378,85,12,47,58,17,12,1
ACTA-ERROR-10401005020,10401,10401005020,20,723,723,48,17,39,30,6,1
ACTA-10402006001,10402,10402006001,1,333,79,46,28,7,11,9,1
ACTA-10403006002,10403,10403006002,2,881,51,207,62,86,44,1,1
ACTA-10404006003,10404,10404006003,3,560,136,3,87,89,11,12,1
ACTA-10405006004,10405,10405006004,4,653,53,86,4,70,23,25,1
ACTA-10501006005,10501,10501006005,5,664,56,91,59,81,10,21,1
ACTA-10101006006,10101,10101006006,6,639,133,43,23,101,5,1,1
ACTA-10102006007,10102,10102006007,7,180,13,23,15,19,9,9,1
ACTA-10103006008,10103,10103006008,8,303,38,58,7,43,15,15,1
ACTA-10201006009,10201,10201006009,9,219,24,11,10,42,10,1,1
ACTA-ERROR-10202006010,10202,10202006010,10,187,187,38,36,29,26,25,1
ACTA-10301006011,10301,10301006011,11,380,60,62,17,9,10,19,1
ACTA-10302006012,10302,10302006012,12,486,6,22,12,28,15,8,1
ACTA-10303006013,10303,10303006013,13,222,37,8,24,18,8,2,1
ACTA-10304006014,10304,10304006014,14,532,3,77,43,63,16,13,1
ACTA-10401006015,10401,10401006015,15,168,3,17,31,22,5,3,1
ACTA-10402006016,10402,10402006016,16,304,42,46,40,56,12,3,1
ACTA-10403006017,10403,10403006017,17,890,17,71,122,120,43,28,1
ACTA-10404006018,10404,10404006018,18,491,122,78,70,64,24,24,1
ACTA-10405006019,10405,10405006019,19,882,105,49,147,149,43,17,1
ACTA-ERROR-10501006020,10501,10501006020,20,693,693,66,26,35,21,18,1
ACTA-10101007001,10101,10101007001,1,566,99,102,27,81,23,13,1
ACTA-10102007002,10102,10102007002,2,392,49,96,68,58,17,2,1
ACTA-10103007003,10103,10103007003,3,434,54,68,38,26,14,3,1
ACTA-10201007004,10201,10201007004,4,736,118,146,98,98,9,22,1
ACTA-10202007005,10202,10202007005,5,788,124,168,96,88,16,8,1
ACTA-10301007006,10301,10301007006,6,300,69,14,21,2,10,10,1
ACTA-10302007007,10302,10302007007,7,427,7,73,69,62,9,8,1
ACTA-10303007008,10303,10303007008,8,442,66,93,59,61,21,14,1
ACTA-10304007009,10304,10304007009,9,283,32,38,39,18,12,0,1
ACTA-ERROR-10401007010,10401,10401007010,10,421,421,31,34,41,27,18,1
ACTA-10402007011,10402,10402007011,11,279,61,47,46,10,8,13,1
ACTA-10403007012,10403,10403007012,12,282,60,62,7,22,4,3,1
ACTA-10404007013,10404,10404007013,13,192,38,21,19,24,4,5,1
ACTA-10405007014,10405,10405007014,14,192,42,6,4,37,2,2,1
ACTA-10501007015,10501,10501007015,15,359,70,20,35,0,16,12,1
ACTA-10101007016,10101,10101007016,16,492,94,90,81,94,23,3,1
ACTA-10102007017,10102,10102007017,17,222,40,28,8,12,9,2,1
ACTA-10103007018,10103,10103007018,18,595,16,125,70,107,10,18,1
ACTA-10201007019,10201,10201007019,19,363,31,81,23,11,3,17,1
ACTA-ERROR-10202007020,10202,10202007020,20,577,577,79,18,59,9,5,1
ACTA-10301008001,10301,10301008001,1,818,100,8,86,159,13,13,1
ACTA-10302008002,10302,10302008002,2,662,49,140,63,126,28,29,1
ACTA-10303008003,10303,10303008003,3,195,1,33,19,32,0,3,1
ACTA-10304008004,10304,10304008004,4,391,96,9,44,8,16,18,1
ACTA-10401008005,10401,10401008005,5,702,11,132,1,99,18,35,1
ACTA-10402008006,10402,10402008006,6,326,38,14,56,8,15,0,1
ACTA-10403008007,10403,10403008007,7,798,28,170,142,146,11,32,1
ACTA-10404008008,10404,10404008008,8,292,38,67,42,54,13,6,1
ACTA-10405008009,10405,10405008009,9,358,69,0,47,37,12,4,1
ACTA-ERROR-10501008010,10501,10501008010,10,672,672,43,17,44,11,17,1
ACTA-10101008011,10101,10101008011,11,467,110,9,25,43,1,4,1
ACTA-10102008012,10102,10102008012,12,396,58,60,51,49,5,7,1
ACTA-10103008013,10103,10103008013,13,363,4,30,14,28,12,18,1
ACTA-10201008014,10201,10201008014,14,927,189,76,133,56,40,12,1
ACTA-10202008015,10202,10202008015,15,360,21,37,58,72,12,17,1
ACTA-10301008016,10301,10301008016,16,216,50,50,21,42,4,10,1
ACTA-10302008017,10302,10302008017,17,756,134,150,26,44,19,11,1
ACTA-10303008018,10303,10303008018,18,744,30,101,0,81,30,8,1
ACTA-10304008019,10304,10304008019,19,620,19,26,48,24,31,13,1
ACTA-ERROR-10401008020,10401,10401008020,20,264,264,30,47,27,22,11,1
ACTA-10402009001,10402,10402009001,1,240,5,12,21,34,8,6,1
ACTA-10403009002,10403,10403009002,2,880,117,102,71,51,26,42,1
ACTA-10404009003,10404,10404009003,3,431,42,5,81,53,16,14,1
ACTA-10405009004,10405,10405009004,4,177,0,4,21,15,3,1,1
ACTA-10501009005,10501,10501009005,5,714,165,175,142,99,3,21,1
ACTA-10101009006,10101,10101009006,6,534,18,78,21,0,0,11,1
ACTA-10102009007,10102,10102009007,7,316,36,65,39,7,12,10,1
ACTA-10103009008,10103,10103009008,8,204,17,32,1,31,3,7,1
ACTA-10201009009,10201,10201009009,9,471,87,70,85,68,4,8,1
ACTA-ERROR-10202009010,10202,10202009010,10,419,419,63,34,32,14,13,1
ACTA-10301009011,10301,10301009011,11,338,16,0,9,33,4,12,1
ACTA-10302009012,10302,10302009012,12,444,45,95,23,51,10,2,1
ACTA-10303009013,10303,10303009013,13,491,24,60,71,69,13,23,1
ACTA-10304009014,10304,10304009014,14,866,143,183,173,131,1,35,1
ACTA-10401009015,10401,10401009015,15,398,67,74,27,21,17,14,1
ACTA-10402009016,10402,10402009016,16,692,102,13,128,121,16,19,1
ACTA-10403009017,10403,10403009017,17,395,27,87,67,12,13,14,1
ACTA-10404009018,10404,10404009018,18,376,72,32,67,5,7,9,1
ACTA-10405009019,10405,10405009019,19,940,44,131,83,4,7,22,1
ACTA-ERROR-10501009020,10501,10501009020,20,604,604,76,29,15,22,15,1
ACTA-10101010001,10101,10101010001,1,305,54,54,17,22,1,14,1
ACTA-10102010002,10102,10102010002,2,539,76,28,76,74,13,4,1
ACTA-10103010003,10103,10103010003,3,205,51,3,39,5,8,9,1
ACTA-10201010004,10201,10201010004,4,803,148,192,145,99,33,21,1
ACTA-10202010005,10202,10202010005,5,894,202,51,80,35,4,27,1
ACTA-10301010006,10301,10301010006,6,535,107,69,105,44,4,11,1
ACTA-10302010007,10302,10302010007,7,636,95,21,42,15,27,17,1
ACTA-10303010008,10303,10303010008,8,361,23,53,70,32,10,12,1
ACTA-10304010009,10304,10304010009,9,712,96,116,139,117,14,9,1
ACTA-ERROR-10401010010,10401,10401010010,10,915,915,49,10,20,18,18,1
ACTA-10402010011,10402,10402010011,11,623,34,119,49,34,10,29,1
ACTA-10403010012,10403,10403010012,12,751,17,53,22,145,2,12,1
ACTA-10404010013,10404,10404010013,13,853,149,204,44,33,33,18,1
ACTA-10405010014,10405,10405010014,14,875,133,51,155,55,32,14,1
ACTA-10501010015,10501,10501010015,15,449,9,85,53,49,7,4,1
ACTA-10101010016,10101,10101010016,16,940,198,79,176,141,13,45,1
ACTA-10102010017,10102,10102010017,17,799,172,26,65,71,15,0,1
ACTA-10103010018,10103,10103010018,18,364,6,83,32,62,2,0,1
ACTA-10201010019,10201,10201010019,19,519,104,120,68,99,8,23,1
ACTA-ERROR-10202010020,10202,10202010020,20,775,775,34,55,48,20,6,1
ACTA-10301011001,10301,10301011001,1,758,55,133,27,91,35,0,1
ACTA-10302011002,10302,10302011002,2,516,74,26,75,96,5,9,1
ACTA-10303011003,10303,10303011003,3,325,26,8,48,40,0,12,1
ACTA-10304011004,10304,10304011004,4,917,219,47,121,94,26,41,1
ACTA-10401011005,10401,10401011005,5,844,90,124,154,146,21,8,1
ACTA-10402011006,10402,10402011006,6,536,98,31,77,77,17,16,1
ACTA-10403011007,10403,10403011007,7,650,147,52,82,81,23,24,1
ACTA-10404011008,10404,10404011008,8,773,38,110,65,12,28,1,1
ACTA-10405011009,10405,10405011009,9,738,150,61,109,84,7,27,1
ACTA-ERROR-10501011010,10501,10501011010,10,896,896,80,57,20,28,9,1
ACTA-10101011011,10101,10101011011,11,357,82,78,1,60,11,5,1
ACTA-10102011012,10102,10102011012,12,659,132,143,32,71,11,0,1
ACTA-10103011013,10103,10103011013,13,241,19,53,37,1,4,0,1
ACTA-10201011014,10201,10201011014,14,381,2,16,59,6,14,16,1
ACTA-10202011015,10202,10202011015,15,683,118,92,51,127,32,6,1
ACTA-10301011016,10301,10301011016,16,866,48,171,13,54,17,43,1
ACTA-10302011017,10302,10302011017,17,363,37,87,14,69,17,6,1
ACTA-10303011018,10303,10303011018,18,910,159,107,29,166,42,18,1
ACTA-10304011019,10304,10304011019,19,886,220,69,53,143,13,29,1
ACTA-ERROR-10401011020,10401,10401011020,20,774,774,65,23,57,20,23,1
ACTA-10402012001,10402,10402012001,1,756,6,176,53,73,21,12,1
ACTA-10403012002,10403,10403012002,2,415,98,64,6,78,2,5,1
ACTA-10404012003,10404,10404012003,3,543,47,130,95,5,27,1,1
ACTA-10405012004,10405,10405012004,4,510,7,102,101,85,24,23,1
ACTA-10501012005,10501,10501012005,5,195,46,40,29,36,3,2,1
ACTA-10101012006,10101,10101012006,6,604,100,61,87,110,16,9,1
ACTA-10102012007,10102,10102012007,7,184,20,34,1,23,0,3,1
ACTA-10103012008,10103,10103012008,8,466,16,107,79,20,5,9,1
ACTA-10201012009,10201,10201012009,9,613,78,113,76,106,28,20,1
ACTA-ERROR-10202012010,10202,10202012010,10,649,649,40,23,36,22,6,1
ACTA-10301012011,10301,10301012011,11,364,56,71,64,20,5,0,1
ACTA-10302012012,10302,10302012012,12,839,139,186,54,48,27,4,1
ACTA-10303012013,10303,10303012013,13,194,7,34,35,37,1,8,1
ACTA-10304012014,10304,10304012014,14,795,187,155,1,144,32,31,1
ACTA-10401012015,10401,10401012015,15,724,107,174,135,70,14,27,1
ACTA-10402012016,10402,10402012016,16,595,47,73,93,21,22,1,1
ACTA-10403012017,10403,10403012017,17,428,9,47,37,4,3,15,1
ACTA-10404012018,10404,10404012018,18,648,131,56,81,65,32,15,1
ACTA-10405012019,10405,10405012019,19,851,41,175,44,2,13,5,1
ACTA-ERROR-10501012020,10501,10501012020,20,257,257,74,53,19,12,9,1
ACTA-10101013001,10101,10101013001,1,855,128,116,15,33,28,22,1
ACTA-10102013002,10102,10102013002,2,631,109,92,39,28,20,21,1
ACTA-10103013003,10103,10103013003,3,322,53,21,43,53,0,13,1
ACTA-10201013004,10201,10201013004,4,172,42,31,7,27,2,3,1
ACTA-10202013005,10202,10202013005,5,158,12,11,10,28,5,0,1
ACTA-10301013006,10301,10301013006,6,610,72,56,2,97,20,23,1
ACTA-10302013007,10302,10302013007,7,811,67,184,40,108,37,14,1
ACTA-10303013008,10303,10303013008,8,786,176,194,127,65,29,38,1
ACTA-10304013009,10304,10304013009,9,872,149,175,40,106,30,23,1
ACTA-ERROR-10401013010,10401,10401013010,10,422,422,32,41,37,25,23,1
ACTA-10402013011,10402,10402013011,11,487,68,21,85,91,16,1,1
ACTA-10403013012,10403,10403013012,12,645,78,78,108,12,6,3,1
ACTA-10404013013,10404,10404013013,13,446,71,49,26,30,0,21,1
ACTA-10405013014,10405,10405013014,14,654,83,52,130,56,16,1,1
ACTA-10501013015,10501,10501013015,15,290,11,18,26,2,3,0,1
ACTA-10101013016,10101,10101013016,16,404,56,13,46,48,16,11,1
ACTA-10102013017,10102,10102013017,17,262,21,60,26,8,3,5,1
ACTA-10103013018,10103,10103013018,18,216,12,5,21,24,4,8,1
ACTA-10201013019,10201,10201013019,19,556,114,30,36,110,3,16,1
ACTA-ERROR-10202013020,10202,10202013020,20,568,568,26,38,52,13,9,1
ACTA-10301014001,10301,10301014001,1,593,138,10,84,22,16,6,1
ACTA-10302014002,10302,10302014002,2,829,58,8,25,105,13,26,1
ACTA-10303014003,10303,10303014003,3,364,80,34,3,69,0,1,1
ACTA-10304014004,10304,10304014004,4,178,0,36,11,11,3,2,1
ACTA-10401014005,10401,10401014005,5,701,175,89,91,104,5,0,1
ACTA-10402014006,10402,10402014006,6,418,48,17,30,69,15,14,1
ACTA-10403014007,10403,10403014007,7,236,5,17,25,25,4,11,1
ACTA-10404014008,10404,10404014008,8,217,7,49,9,1,7,10,1
ACTA-10405014009,10405,10405014009,9,805,74,21,7,43,5,26,1
ACTA-ERROR-10501014010,10501,10501014010,10,847,847,38,16,46,15,7,1
ACTA-10101014011,10101,10101014011,11,612,38,146,105,93,3,9,1
ACTA-10102014012,10102,10102014012,12,696,131,110,74,45,2,19,1
ACTA-10103014013,10103,10103014013,13,439,97,16,25,12,13,9,1
ACTA-10201014014,10201,10201014014,14,930,97,7,129,166,15,13,1
ACTA-10202014015,10202,10202014015,15,340,41,18,22,37,17,5,1
ACTA-10301014016,10301,10301014016,16,902,175,123,47,162,9,25,1
ACTA-10302014017,10302,10302014017,17,458,57,40,41,71,11,12,1
ACTA-10303014018,10303,10303014018,18,382,52,45,26,17,9,3,1
ACTA-10304014019,10304,10304014019,19,818,41,78,117,101,29,17,1
ACTA-ERROR-10401014020,10401,10401014020,20,626,626,57,22,15,19,20,1
ACTA-10402015001,10402,10402015001,1,255,42,62,45,11,6,2,1
ACTA-10403015002,10403,10403015002,2,920,226,206,27,182,43,6,1
ACTA-10404015003,10404,10404015003,3,596,87,65,95,17,0,16,1
ACTA-10405015004,10405,10405015004,4,359,4,12,22,47,5,2,1
ACTA-10501015005,10501,10501015005,5,691,147,87,138,51,7,34,1
ACTA-10101015006,10101,10101015006,6,477,61,15,37,44,10,19,1
ACTA-10102015007,10102,10102015007,7,613,55,123,46,83,16,1,1
ACTA-10103015008,10103,10103015008,8,219,54,19,27,0,2,2,1
ACTA-10201015009,10201,10201015009,9,642,22,72,27,77,30,21,1
ACTA-ERROR-10202015010,10202,10202015010,10,233,233,65,51,51,13,20,1
ACTA-10301015011,10301,10301015011,11,321,39,63,50,59,1,12,1
ACTA-10302015012,10302,10302015012,12,416,93,42,52,31,14,19,1
ACTA-10303015013,10303,10303015013,13,305,70,32,8,5,3,11,1
ACTA-10304015014,10304,10304015014,14,878,177,16,91,100,2,32,1
ACTA-10401015015,10401,10401015015,15,914,66,124,109,144,38,12,1
ACTA-10402015016,10402,10402015016,16,504,91,75,67,4,6,15,1
ACTA-10403015017,10403,10403015017,17,724,103,16,113,49,2,18,1
ACTA-10404015018,10404,10404015018,18,467,41,57,34,15,0,5,1
ACTA-10405015019,10405,10405015019,19,869,108,174,17,6,40,33,1
ACTA-ERROR-10501015020,10501,10501015020,20,723,723,32,34,50,24,5,1
ACTA-10101016001,10101,10101016001,1,222,55,16,38,16,0,11,1
ACTA-10102016002,10102,10102016002,2,633,86,75,10,116,6,24,1
ACTA-10103016003,10103,10103016003,3,542,24,95,16,11,6,19,1
ACTA-10201016004,10201,10201016004,4,343,26,73,58,10,10,12,1
ACTA-10202016005,10202,10202016005,5,695,50,43,33,120,15,11,1
ACTA-10301016006,10301,10301016006,6,458,83,25,91,19,9,12,1
ACTA-10302016007,10302,10302016007,7,485,35,26,57,77,21,4,1
ACTA-10303016008,10303,10303016008,8,286,67,37,14,49,14,12,1
ACTA-10304016009,10304,10304016009,9,787,95,166,35,95,12,2,1
ACTA-ERROR-10401016010,10401,10401016010,10,429,429,69,33,51,11,13,1
ACTA-10402016011,10402,10402016011,11,330,79,6,43,41,5,13,1
ACTA-10403016012,10403,10403016012,12,764,62,68,90,128,10,5,1
ACTA-10404016013,10404,10404016013,13,459,87,109,80,91,6,8,1
ACTA-10405016014,10405,10405016014,14,194,44,37,35,14,6,8,1
ACTA-10501016015,10501,10501016015,15,540,89,123,46,9,3,26,1
ACTA-10101016016,10101,10101016016,16,215,6,50,4,14,9,6,1
ACTA-10102016017,10102,10102016017,17,188,12,11,12,21,7,5,1
ACTA-10103016018,10103,10103016018,18,243,38,26,46,41,6,6,1
ACTA-10201016019,10201,10201016019,19,887,219,142,103,147,20,18,1
ACTA-ERROR-10202016020,10202,10202016020,20,400,400,52,44,43,6,24,1
ACTA-10301017001,10301,10301017001,1,248,42,57,20,5,7,5,1
ACTA-10302017002,10302,10302017002,2,570,74,41,44,22,3,22,1
ACTA-10303017003,10303,10303017003,3,717,54,89,131,87,21,15,1
ACTA-10304017004,10304,10304017004,4,499,111,82,96,3,18,24,1
ACTA-10401017005,10401,10401017005,5,685,20,17,96,18,3,5,1
ACTA-10402017006,10402,10402017006,6,741,73,35,134,52,29,13,1
ACTA-10403017007,10403,10403017007,7,901,103,15,84,141,25,22,1
ACTA-10404017008,10404,10404017008,8,311,30,3,41,39,9,0,1
ACTA-10405017009,10405,10405017009,9,928,148,172,16,25,14,14,1
ACTA-ERROR-10501017010,10501,10501017010,10,553,553,27,49,17,14,26,1
ACTA-10101017011,10101,10101017011,11,543,88,7,106,31,19,24,1
ACTA-10102017012,10102,10102017012,12,824,202,84,156,102,19,23,1
ACTA-10103017013,10103,10103017013,13,210,52,44,31,32,2,8,1
ACTA-10201017014,10201,10201017014,14,569,93,38,88,104,2,1,1
ACTA-10202017015,10202,10202017015,15,656,12,101,89,69,20,2,1
ACTA-10301017016,10301,10301017016,16,176,10,4,17,25,3,4,1
ACTA-10302017017,10302,10302017017,17,238,9,40,32,24,0,7,1
ACTA-10303017018,10303,10303017018,18,280,36,33,24,35,4,7,1
ACTA-10304017019,10304,10304017019,19,733,83,43,107,23,14,2,1
ACTA-ERROR-10401017020,10401,10401017020,20,579,579,61,54,40,10,7,1
ACTA-10402018001,10402,10402018001,1,858,205,199,116,32,25,1,1
ACTA-10403018002,10403,10403018002,2,597,2,99,111,1,10,13,1
ACTA-10404018003,10404,10404018003,3,587,115,81,70,11,14,3,1
ACTA-10405018004,10405,10405018004,4,812,102,38,150,161,30,22,1
ACTA-10501018005,10501,10501018005,5,928,196,112,93,85,12,37,1
ACTA-10101018006,10101,10101018006,6,584,143,68,56,14,24,3,1
ACTA-10102018007,10102,10102018007,7,586,118,141,42,39,10,27,1
ACTA-10103018008,10103,10103018008,8,178,27,22,0,8,5,2,1
ACTA-10201018009,10201,10201018009,9,739,172,123,40,139,29,29,1
ACTA-ERROR-10202018010,10202,10202018010,10,205,205,74,48,28,6,21,1
ACTA-10301018011,10301,10301018011,11,306,49,73,37,8,10,12,1
ACTA-10302018012,10302,10302018012,12,201,29,9,33,29,2,10,1
ACTA-10303018013,10303,10303018013,13,614,9,46,94,47,26,7,1
ACTA-10304018014,10304,10304018014,14,669,35,2,16,47,2,7,1
ACTA-10401018015,10401,10401018015,15,312,16,38,22,23,1,11,1
ACTA-10402018016,10402,10402018016,16,610,24,92,11,94,19,28,1
ACTA-10403018017,10403,10403018017,17,606,50,111,102,51,17,19,1
ACTA-10404018018,10404,10404018018,18,475,57,80,91,37,17,10,1
ACTA-10405018019,10405,10405018019,19,532,86,25,91,1,23,23,1
ACTA-ERROR-10501018020,10501,10501018020,20,585,585,52,18,50,27,25,1
ACTA-10101019001,10101,10101019001,1,699,163,66,27,45,5,29,1
ACTA-10102019002,10102,10102019002,2,654,81,128,104,103,5,6,1
ACTA-10103019003,10103,10103019003,3,868,176,154,45,112,24,38,1
ACTA-10201019004,10201,10201019004,4,222,41,40,39,4,5,8,1
ACTA-10202019005,10202,10202019005,5,572,89,64,81,101,14,4,1
ACTA-10301019006,10301,10301019006,6,497,38,98,50,7,10,3,1
ACTA-10302019007,10302,10302019007,7,697,97,36,14,22,15,8,1
ACTA-10303019008,10303,10303019008,8,432,38,1,54,28,20,15,1
ACTA-10304019009,10304,10304019009,9,381,85,7,39,36,7,12,1
ACTA-ERROR-10401019010,10401,10401019010,10,370,370,47,44,11,24,9,1
ACTA-10402019011,10402,10402019011,11,888,85,118,60,71,36,22,1
ACTA-10403019012,10403,10403019012,12,281,30,45,13,27,3,3,1
ACTA-10404019013,10404,10404019013,13,605,100,52,20,100,13,15,1
ACTA-10405019014,10405,10405019014,14,445,39,91,78,66,11,4,1
ACTA-10501019015,10501,10501019015,15,859,68,60,143,8,22,31,1
ACTA-10101019016,10101,10101019016,16,934,175,84,67,17,26,25,1
ACTA-10102019017,10102,10102019017,17,588,29,40,41,95,28,6,1
ACTA-10103019018,10103,10103019018,18,205,29,50,0,18,9,9,1
ACTA-10201019019,10201,10201019019,19,581,59,79,54,85,19,5,1
